naId,type,score,contributor,scopeAndContentNote,records_type,title,parent_series_title,start_date,end_date,creator,thumbnail,record_group,archive,tags
536874,description,0.058474816,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Pruning trees at this War Relocatin Authority center for evacuees of Japanese ancestry.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536874/opa-renditions/thumbnails/20-2324M.jpg-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","World Ward II, WWII, War, Homefront, Internment Camp, Japanese American, Tree Climbing, Pruning, Man, Manzanar Relocation Center, Manzanar, California, War Relocation Authority, WRA, 1942, Clem Albers, Internees"
536878,description,0.058474816,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Lunchtime at Manzanar, a War Relocation Authority center for evacuees of Japanese ancestry.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536878/opa-renditions/thumbnails/20-2328M.jpg-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","Manzanar Relocation Center, Manzanar, California, Lunchtime, Meal, WRA, War Relocation Authority, Internment Camp, Japanese American, Civilian, WWII, World Ward II, War, Homefront, Clem Albers, 1942"
536259,description,0.050229456,"Albers, Clem","The full caption for this photograph reads: Poston, Arizona. Constructing quarters for evacuees of Japanese ancestry at War Relocation Authority center on Colorado River Indian Reservation.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536259/opa-renditions/thumbnails/20-1714M.jpg-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","Japanese Internment Camp, World War II, WWII, War, Homefront, Construction, Colorado River Indian Reservation, 1942, Arizona, Poston, Parker, Barrack Construction, Clem Albers, WRA, War Relocation Authority, Poston War Relocation Center"
7820143,description,0.048905622,NA,NA,Textual Records,NA,Construction Completion Reports,1942,1943,"War Department. Office of the Chief of Engineers. North Pacific Division. Portland, Oregon, District. 1901-9/18/1947",NA,77,"NARA's Pacific Alaska Region (Seattle, WA)","Jerome County, Idaho, construction directives, Japanese, climate, housing, military police, barracks, hospital, sanitation, administration, utilities, costs, photographs, maps, jwric-ts1"
536863,description,0.04334137,"Albers, Clem","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Mealtime at Manzanar, a War Relocation Authority center for evacuees of Japanese ancestry.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536863/opa-renditions/thumbnails/20-2313M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
536298,description,0.043289896,"Clark, Fred, photographer","The full caption for this photograph reads: Poston, Arizona. Barracks under construction at this War Relocation Authority center where evacuees of Japanese ancestry are spending the duration.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/536298/opa-renditions/thumbnails/20-1753M.jpg-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
539812,description,0.043289896,"Iwasaki, Hikaru, 1923-","The full caption for this photograph reads: Closing of the Jerome Relocation Center, Denson, Arkansas. Two War Relocation Authority transportation official compare notes as a bus loaded with Jerome residents is about to take off for the Rohwer Center.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/539812/opa-renditions/thumbnails/22-0100M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538570,description,0.043289896,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Poston, Arizona. Norris James, War Relocation Authority representative gives instructions and assignments to the newspaper staff of evacuees of Japanese ancestry at this center where they are spending the duration.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538570/opa-renditions/thumbnails/21-1970M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538528,description,0.043289896,"Stewart, Francis, War Relocation Authority photographer","The full caption for this photograph reads: Poston, Arizona. Norris James, War Relocation Authority representative gives instructions and assignments to

the newspaper staff of evacuees of Japanese ancestry at this War Relocation Authority center.",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538528/opa-renditions/thumbnails/21-1928M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
538127,description,0.043289896,"Lange, Dorothea, 1895-1965","The full caption for this photograph reads: Manzanar Relocation Center, Manzanar, California. Street scene at this War Relocation Authority center on summer evening with view of barrack homes where evacuees of Japanese ancestry are spending the duration.
",Photographs and other Graphic Materials,NA,Central Photographic File of the War Relocation Authority,1942,1945,Department of the Interior. War Relocation Authority. 2/16/1944-6/30/1946,https://catalog.archives.gov/OpaAPI/media/538127/opa-renditions/thumbnails/21-1532M.TIF-thumb.jpg,210,"National Archives at College Park - Archives II (College Park, MD)","NA"
